Source IP, Dest IP, Source Port, Dest Port, Protocols, Duration, Sent Bytes,Received Bytes, Header Bytes FWD
74.125.133.189,192.168.43.116,56710,443,TCP UDP ,1.376553,141,218,88
192.168.43.116,178.250.2.150,56708,443,TCP ,10.591719,3394,8565,1242
192.168.43.116,94.182.163.211,45074,443,TCP ,0.225416,2048,6265,648
192.168.43.116,94.182.96.125,41910,443,TCP ,0.462771,7929,49360,3132
192.168.43.116,94.182.164.181,40858,443,TCP ,0.421696,3402,12050,1080
192.168.43.116,54.38.253.130,42068,443,TCP ,3.517406,10257,21107,2538
192.168.43.116,94.182.163.91,59884,443,TCP ,4.393282,2309,6567,864
192.168.43.116,142.250.74.197,55280,443,TCP ,12.389296,198,337,162
192.168.43.116,185.166.104.4,32884,443,TCP ,0.237398,4135,21953,1566
192.168.43.116,94.182.164.180,52414,443,TCP ,30.393135,2136,6499,810
192.168.43.116,94.182.164.181,40860,443,TCP ,41.346565,1645,7460,1026
192.168.43.116,13.225.87.18,41078,443,TCP ,70.516975,8297,16999,2700
192.168.43.116,3.131.125.24,42292,443,TCP ,71.546791,4381,14126,1782
192.168.43.116,185.166.104.4,32886,443,TCP ,61.200336,108463,4832652,86670
192.168.43.116,54.38.254.146,57796,443,TCP ,93.806908,6844,12763,2214
192.168.43.116,82.99.253.228,41434,443,TCP ,0.196533,3074,1228,540
192.168.43.116,74.125.133.189,45102,443,TCP UDP ,178.762405,1152,1139,664
192.168.43.116,198.101.146.21,39986,443,TCP ,52.182819,76193,2295333,51570
192.168.43.116,82.99.253.228,41436,443,TCP ,74.692383,121291,166522,14472
192.168.43.116,3.219.243.96,45212,443,TCP ,10.820620,4741,13409,1458
192.168.43.116,94.182.132.67,45074,443,TCP ,180.167130,2429,7405,1026
192.168.43.116,94.182.96.125,41916,443,TCP ,188.852051,548206,47865469,421956
94.182.96.125,192.168.43.116,443,41910,TCP ,1.539103,198,310,162
192.168.43.116,94.182.96.125,41912,443,TCP ,17.361073,132,244,108
192.168.43.116,172.217.169.234,56710,443,TCP UDP ,270.185181,16607,248887,8392
192.168.43.116,142.250.145.189,55062,443,TCP UDP ,240.806808,16246,63750,3452
192.168.43.116,13.225.87.97,36370,443,TCP ,241.094772,4258,28842,1728
